DeltaTime	StreamSample	HeadRotationX	HeadRotationY	HeadRotationZ	HeadSpeedX	HeadSpeedY	HeadSpeedZ	
0.0010051	2471491	0.9143952	0.0293691	-0.4034838	-0.01482547	0.3342185	0.08200853	-0.2059016	 
0.0010371	2471492	0.9143954	0.02936708	-0.4034833	-0.01482757	0.2983538	-0.05924654	-0.1238532	 
0.0010266	2471493	0.9143962	0.02936462	-0.4034815	-0.01482994	0.3577628	-0.1979024	-0.1328615	 
0.0012096	2471494	0.9143972	0.02936301	-0.4034794	-0.01483157	0.2412543	-0.247823	-0.09800433	 
0.0031738	2471495	0.914398	0.02936194	-0.4034776	-0.0148326	0.1590421	-0.2174452	-0.060167	 
0.0010448	2471500	0.9143989	0.02936253	-0.4034759	-0.01482348	-0.2193108	0.09484457	0.3336116	 
0.0010404	2471501	0.9143986	0.02936209	-0.4034768	-0.01482056	-0.0885224	0.1039969	0.3158428	 
0.0010532	2471502	0.914398	0.02936177	-0.4034783	-0.0148167	-0.1426441	0.1615874	0.4062534	 
0.0010174	2471503	0.9143972	0.02936223	-0.4034803	-0.01481032	-0.3353465	0.2113852	0.6257237	 
0.0010394	2471504	0.9143965	0.02936343	-0.4034819	-0.01480163	-0.5119688	0.1674014	0.8258182	 
0.0012005	2471505	0.9143963	0.02936463	-0.4034826	-0.01479269	-0.518857	0.04907388	0.8483387	 
0.0010415	2471507	0.9143967	0.02936684	-0.4034822	-0.01477623	-0.4370547	-0.0763064	0.7499878	 
0.0010328	2471508	0.9143971	0.02936805	-0.4034817	-0.01476943	-0.4217151	-0.09198198	0.6290894	 
0.0010269	2471509	0.9143975	0.02936867	-0.4034806	-0.01476501	-0.254958	-0.1369613	0.4143496	 
0.0010466	2471510	0.9143981	0.02936895	-0.4034795	-0.01476263	-0.1303602	-0.1480004	0.2249231	 
0.0010204	2471511	0.9143985	0.02936901	-0.4034786	-0.01476183	-0.03940178	-0.1116756	0.07557449	 
0.001039	2471512	0.9143987	0.02936936	-0.403478	-0.01476174	-0.03663712	-0.07806676	-0.008431346	 
0.0015294	2471513	0.9143991	0.0293692	-0.4034771	-0.01476223	0.04025077	-0.09631699	-0.04425852	 
0.0010455	2471515	0.9143997	0.02936777	-0.4034756	-0.01476667	0.2242134	-0.06137149	-0.2374372	 
0.0010299	2471516	0.9143997	0.02936781	-0.4034755	-0.01476938	0.1171936	-0.003588328	-0.2749757	 
0.0013672	2471517	0.9143996	0.02936777	-0.4034757	-0.0147729	0.159032	0.03836551	-0.3514954	 
0.0012169	2471518	0.9143994	0.02936731	-0.4034759	-0.01477774	0.260641	0.04345367	-0.4662259	 
0.0012891	2471520	0.9143989	0.02936538	-0.4034769	-0.01478864	0.3297925	0.09646044	-0.5003896	 
0.0010663	2471522	0.9143988	0.02936256	-0.4034769	-0.01479959	0.4006373	-0.027635	-0.512876	 
0.0010372	2471523	0.9143994	0.02936132	-0.4034754	-0.01480506	0.3720582	-0.1627395	-0.4990947	 
0.0015218	2471525	0.9144019	0.02936098	-0.4034695	-0.0148126	0.1590415	-0.389951	-0.3350683	 
0.0013533	2471527	0.9144055	0.02936094	-0.4034611	-0.01481824	0.1190207	-0.5009966	-0.2583044	 
0.0011159	2471529	0.9144075	0.0293645	-0.4034564	-0.0148188	-0.2489633	-0.185505	-0.04520664	 
0.003099	2471530	0.9144076	0.02936772	-0.4034559	-0.01481761	-0.3746246	-0.06688742	-0.02401854	 
0.0031726	2471534	0.9144053	0.02938711	-0.4034599	-0.01481153	-0.6381168	0.1841424	0.02890105	 
0.0017887	2471537	0.9144033	0.02939603	-0.4034641	-0.01480574	-0.3151956	0.1710582	0.07029422	 
0.0014313	2471538	0.9144029	0.02939776	-0.4034649	-0.01480437	-0.2375301	0.0893486	0.06292168	 
0.0010316	2471540	0.9144035	0.0293985	-0.4034635	-0.01480263	-0.007245555	-0.1343101	0.06361191	 
0.0010313	2471542	0.9144055	0.02939691	-0.4034593	-0.01480068	0.0619906	-0.302282	0.1225397	 
0.0010379	2471543	0.9144068	0.02939489	-0.4034563	-0.01480045	0.2022309	-0.366336	0.1054147	 
0.0010312	2471544	0.9144083	0.0293911	-0.4034534	-0.01480138	0.4319897	-0.3425944	0.06692071	 
0.0020951	2471545	0.9144092	0.0293864	-0.4034515	-0.01480253	0.5295312	-0.219291	0.08924825	 
0.0010171	2471549	0.9144098	0.02936498	-0.4034517	-0.01480765	0.4422101	0.1907698	0.202345	 
0.0010422	2471550	0.9144085	0.02936143	-0.4034548	-0.01480601	0.2749467	0.3602826	0.3308773	 
0.0010306	2471551	0.9144069	0.02935848	-0.4034588	-0.01480294	0.1486955	0.4803356	0.4500066	 
0.0011312	2471552	0.9144048	0.02935638	-0.4034638	-0.01479852	0.0004939971	0.5751812	0.5500527	 
0.0010236	2471554	0.9143998	0.02935627	-0.4034756	-0.01478596	-0.3458215	0.6985423	0.6589155	 
0.0010407	2471555	0.9143976	0.02935741	-0.4034808	-0.01477919	-0.4308231	0.6026181	0.6434392	 
0.0012224	2471556	0.9143958	0.0293586	-0.4034849	-0.01477397	-0.3635561	0.4724952	0.4828992	 
0.0010236	2471558	0.9143933	0.02936178	-0.4034906	-0.01476653	-0.3240813	0.281955	0.2517465	 
0.0010415	2471559	0.9143927	0.02936383	-0.4034921	-0.01476445	-0.3027706	0.1623389	0.121612	 
0.0016469	2471560	0.9143925	0.02936522	-0.4034924	-0.0147642	-0.151939	0.03672554	-0.03568859	 
0.0030129	2471561	0.9143925	0.02936689	-0.4034921	-0.01476494	-0.1350601	-0.03228545	-0.1492664	 
0.0016304	2471565	0.9143938	0.02937166	-0.4034884	-0.01477458	0.07601468	-0.1695262	-0.3153123	 
0.0014642	2471566	0.9143945	0.02937185	-0.4034869	-0.01477701	0.09309971	-0.1748903	-0.2568657	 
0.0010229	2471569	0.9143967	0.02937179	-0.4034817	-0.01478009	0.1346167	-0.2163875	-0.07950365	 
0.0010364	2471570	0.9143974	0.0293702	-0.4034803	-0.01478118	0.2133263	-0.1669286	-0.04181757	 
0.001315	2471571	0.9143978	0.02936833	-0.4034795	-0.01478217	0.2347643	-0.09717065	-0.01911967	 
0.00102	2471573	0.9143988	0.02936188	-0.4034774	-0.01478609	0.4732611	-0.1236771	-0.08954865	 
0.0010393	2471574	0.9143993	0.02935729	-0.4034765	-0.01478928	0.6061046	-0.09616423	-0.1198972	 
0.0010514	2471575	0.9143996	0.02935324	-0.403476	-0.01479226	0.5414598	-0.04044814	-0.1210262	 
0.0011112	2471576	0.9143997	0.02934981	-0.4034759	-0.01479485	0.4609928	3.841764E-05	-0.1084302	 
0.0010046	2471577	0.9143997	0.02934706	-0.403476	-0.01479667	0.3568147	0.0181536	-0.06068968	 
0.0010437	2471578	0.9143996	0.02934496	-0.4034766	-0.01479709	0.2287164	0.06449891	0.05263335	 
0.0010068	2471579	0.914399	0.02934466	-0.403478	-0.01479602	-0.02168792	0.1648648	0.1237255	 
0.0015498	2471580	0.9143979	0.02934716	-0.4034804	-0.01479369	-0.3621195	0.276354	0.1298026	 
0.0026402	2471581	0.9143965	0.02935205	-0.4034833	-0.01479104	-0.6186332	0.3478336	0.05713388	 
0.0010375	2471585	0.9143918	0.02937583	-0.4034926	-0.01478294	-0.6154459	0.05726715	-0.1583163	 
0.0010284	2471586	0.914392	0.02938032	-0.4034917	-0.01478237	-0.4742499	-0.1112303	-0.1447063	 
0.0015973	2471587	0.9143926	0.02938448	-0.4034901	-0.01478177	-0.4412199	-0.1928941	-0.1283584	 
0.0019327	2471588	0.9143935	0.02938709	-0.4034878	-0.01478154	-0.2657037	-0.2778264	-0.09889749	 
0.0015065	2471590	0.9143967	0.02938689	-0.4034805	-0.01478466	0.1997004	-0.4660335	-0.1835166	 
0.0013365	2471592	0.9143997	0.02938168	-0.4034737	-0.01479025	0.4120032	-0.3501119	-0.1355585	 
0.0012606	2471594	0.9144014	0.02937401	-0.4034703	-0.01479572	0.5583907	-0.1345825	-0.08609176	 
0.0028664	2471596	0.9144008	0.02936651	-0.4034722	-0.01479958	0.375596	0.2221125	0.01621414	 
0.0010346	2471600	0.9143952	0.02936151	-0.4034853	-0.01479981	0.1195975	0.4780239	0.1217594	 
0.0010284	2471601	0.9143933	0.02935879	-0.4034898	-0.0147983	0.1933149	0.5324929	0.2845615	 
0.0010528	2471602	0.9143915	0.02935454	-0.4034943	-0.01479624	0.3225116	0.5333462	0.4069624	 
0.0014842	2471603	0.9143897	0.0293496	-0.4034987	-0.0147943	0.3980035	0.5267361	0.425761	 
0.0020348	2471604	0.9143879	0.02934457	-0.4035033	-0.01479194	0.3875	0.547598	0.4727874	 
0.0010284	2471608	0.9143828	0.02932636	-0.4035164	-0.01478643	0.3563287	0.2400107	0.1835977	 
0.0010374	2471609	0.9143824	0.02932422	-0.4035175	-0.01478637	0.2091955	0.1290091	0.1037203	 
0.0010401	2471610	0.9143824	0.02932383	-0.4035174	-0.01478642	0.0415973	-0.007187447	0.01236708	 
0.001121	2471611	0.9143829	0.0293239	-0.4035162	-0.01478741	0.03993834	-0.1348001	-0.1051383	 
0.0016151	2471612	0.9143835	0.02932542	-0.4035147	-0.01478839	-0.104588	-0.1835694	-0.1698782	 
